"Temperature","Light","Time","Replicate"
"21","L",0,1
"21","L",0,2
"21","L",0,3
"21","L",0,4
"21","L",0,5
"21","L",0,6
"21","L",5,1
"21","L",5,2
"21","L",5,3
"21","L",5,4
"21","L",5,5
"21","L",5,6
"21","L",10,1
"21","L",10,2
"21","L",10,3
"21","L",10,4
"21","L",10,5
"21","L",10,6
"21","L",20,1
"21","L",20,2
"21","L",20,3
"21","L",20,4
"21","L",20,5
"21","L",20,6
"21","L",40,1
"21","L",40,2
"21","L",40,3
"21","L",40,4
"21","L",40,5
"21","L",40,6
"21","L",60,1
"21","L",60,2
"21","L",60,3
"21","L",60,4
"21","L",60,5
"21","L",60,6
"21","L",80,1
"21","L",80,2
"21","L",80,3
"21","L",80,4
"21","L",80,5
"21","L",80,6
"21","L",100,1
"21","L",100,2
"21","L",100,3
"21","L",100,4
"21","L",100,5
"21","L",100,6
"21","L",120,1
"21","L",120,2
"21","L",120,3
"21","L",120,4
"21","L",120,5
"21","L",140,1
"21","L",140,2
"21","L",140,3
"21","L",140,4
"21","L",140,5
"21","L",140,6
"21","L",160,1
"21","L",160,2
"21","L",160,3
"21","L",160,4
"21","L",160,5
"21","L",160,6
"21","L",180,1
"21","L",180,2
"21","L",180,3
"21","L",180,4
"21","L",180,5
"21","L",180,6
"21","L",200,1
"21","L",200,2
"21","L",200,3
"21","L",200,4
"21","L",200,5
"21","L",200,6
"21","L",220,1
"21","L",220,2
"21","L",220,3
"21","L",220,4
"21","L",220,5
"21","L",220,6
"21","L",240,1
"21","L",240,2
"21","L",240,3
"21","L",240,4
"21","L",240,5
"21","L",240,6
"21","L",260,1
"21","L",260,2
"21","L",260,3
"21","L",260,4
"21","L",260,5
"21","L",260,6
"21","L",280,1
"21","L",280,2
"21","L",280,3
"21","L",280,4
"21","L",280,5
"21","L",280,6
"21","L",300,1
"21","L",300,2
"21","L",300,3
"21","L",300,4
"21","L",300,5
"21","L",300,6
"21","L",320,1
"21","L",320,2
"21","L",320,3
"21","L",320,4
"21","L",320,5
"21","L",320,6
"21","L",340,1
"21","L",340,2
"21","L",340,3
"21","L",340,4
"21","L",340,5
"21","L",340,6
"21","L",360,1
"21","L",360,2
"21","L",360,3
"21","L",360,4
"21","L",360,5
"21","L",640,1
"21","L",640,2
"21","L",640,3
"21","L",640,4
"21","L",640,5
"21","L",640,6
"21","L",1280,1
"21","L",1280,2
"21","L",1280,3
"21","L",1280,4
"21","L",1280,5
"21","L",1280,6
"21","L",1280,7
"21","D",5,1
"21","D",5,2
"21","D",5,3
"21","D",5,4
"21","D",5,5
"21","D",5,6
"21","D",10,1
"21","D",10,2
"21","D",10,3
"21","D",10,4
"21","D",10,5
"21","D",10,6
"21","D",20,1
"21","D",20,2
"21","D",20,3
"21","D",20,4
"21","D",20,5
"21","D",20,6
"21","D",40,1
"21","D",40,2
"21","D",40,3
"21","D",40,4
"21","D",40,5
"21","D",40,6
"21","D",60,1
"21","D",60,2
"21","D",60,3
"21","D",60,4
"21","D",60,5
"21","D",60,6
"21","D",80,1
"21","D",80,2
"21","D",80,3
"21","D",80,4
"21","D",80,5
"21","D",80,6
"21","D",100,1
"21","D",100,2
"21","D",100,3
"21","D",100,4
"21","D",100,5
"21","D",100,6
"21","D",120,1
"21","D",120,2
"21","D",120,3
"21","D",120,4
"21","D",120,5
"21","D",120,6
"21","D",140,1
"21","D",140,2
"21","D",140,3
"21","D",140,4
"21","D",140,5
"21","D",140,6
"21","D",160,1
"21","D",160,2
"21","D",160,3
"21","D",160,4
"21","D",160,5
"21","D",160,6
"21","D",180,1
"21","D",180,2
"21","D",180,3
"21","D",180,4
"21","D",180,5
"21","D",180,6
"21","D",200,1
"21","D",200,2
"21","D",200,3
"21","D",200,4
"21","D",200,5
"21","D",200,6
"21","D",220,1
"21","D",220,2
"21","D",220,3
"21","D",220,4
"21","D",220,5
"21","D",220,6
"21","D",240,1
"21","D",240,2
"21","D",240,3
"21","D",240,4
"21","D",240,5
"21","D",240,6
"21","D",260,1
"21","D",260,2
"21","D",260,3
"21","D",260,4
"21","D",260,5
"21","D",260,6
"21","D",280,1
"21","D",280,2
"21","D",280,3
"21","D",280,4
"21","D",280,5
"21","D",280,6
"21","D",300,1
"21","D",300,2
"21","D",300,3
"21","D",300,4
"21","D",300,5
"21","D",300,6
"21","D",320,1
"21","D",320,2
"21","D",320,3
"21","D",320,4
"21","D",320,5
"21","D",320,6
"21","D",340,1
"21","D",340,2
"21","D",340,3
"21","D",340,4
"21","D",340,5
"21","D",360,1
"21","D",360,2
"21","D",360,3
"21","D",360,4
"21","D",360,5
"21","D",360,6
"21","D",640,1
"21","D",640,2
"21","D",640,3
"21","D",640,4
"21","D",640,5
"21","D",1280,1
"21","D",1280,2
"21","D",1280,3
"21","D",1280,4
"21","D",1280,5
"21","D",1280,6
"4","L",5,1
"4","L",5,2
"4","L",5,3
"4","L",5,4
"4","L",5,5
"4","L",10,1
"4","L",10,2
"4","L",10,3
"4","L",10,4
"4","L",10,5
"4","L",20,1
"4","L",20,2
"4","L",20,3
"4","L",20,4
"4","L",20,5
"4","L",20,6
"4","L",40,1
"4","L",40,2
"4","L",40,3
"4","L",40,4
"4","L",40,5
"4","L",60,1
"4","L",60,2
"4","L",60,3
"4","L",60,4
"4","L",60,5
"4","L",60,6
"4","L",80,1
"4","L",80,2
"4","L",80,3
"4","L",80,4
"4","L",80,5
"4","L",80,6
"4","L",100,1
"4","L",100,2
"4","L",100,3
"4","L",100,4
"4","L",120,1
"4","L",120,2
"4","L",120,3
"4","L",120,4
"4","L",120,5
"4","L",120,6
"4","L",140,1
"4","L",140,2
"4","L",140,3
"4","L",140,4
"4","L",140,5
"4","L",140,6
"4","L",160,1
"4","L",160,2
"4","L",160,3
"4","L",160,4
"4","L",160,5
"4","L",160,6
"4","L",180,1
"4","L",180,2
"4","L",180,3
"4","L",180,4
"4","L",180,5
"4","L",180,6
"4","L",200,1
"4","L",200,2
"4","L",200,3
"4","L",200,4
"4","L",200,5
"4","L",200,6
"4","L",220,1
"4","L",220,2
"4","L",220,3
"4","L",220,4
"4","L",220,5
"4","L",220,6
"4","L",240,1
"4","L",240,2
"4","L",240,3
"4","L",240,4
"4","L",240,5
"4","L",240,6
"4","L",260,1
"4","L",260,2
"4","L",260,3
"4","L",260,4
"4","L",260,5
"4","L",260,6
"4","L",280,1
"4","L",280,2
"4","L",280,3
"4","L",280,4
"4","L",280,5
"4","L",280,6
"4","L",300,1
"4","L",300,2
"4","L",300,3
"4","L",300,4
"4","L",300,5
"4","L",300,6
"4","L",320,1
"4","L",320,2
"4","L",320,3
"4","L",320,4
"4","L",320,5
"4","L",320,6
"4","L",340,1
"4","L",340,2
"4","L",340,3
"4","L",340,4
"4","L",340,5
"4","L",340,6
"4","L",360,1
"4","L",360,2
"4","L",360,3
"4","L",360,4
"4","L",360,5
"4","L",640,1
"4","L",640,2
"4","L",640,3
"4","L",640,4
"4","L",640,5
"4","L",640,6
"4","L",1280,1
"4","L",1280,2
"4","L",1280,3
"4","L",1280,4
"4","L",1280,5
"4","L",1280,6
"4","D",5,1
"4","D",5,2
"4","D",5,3
"4","D",5,4
"4","D",5,5
"4","D",10,1
"4","D",10,2
"4","D",10,3
"4","D",10,4
"4","D",10,5
"4","D",10,6
"4","D",20,1
"4","D",20,2
"4","D",20,3
"4","D",20,4
"4","D",20,5
"4","D",20,6
"4","D",40,1
"4","D",40,2
"4","D",40,3
"4","D",40,4
"4","D",40,5
"4","D",40,6
"4","D",60,1
"4","D",60,2
"4","D",60,3
"4","D",60,4
"4","D",60,5
"4","D",60,6
"4","D",80,1
"4","D",80,2
"4","D",80,3
"4","D",80,4
"4","D",80,5
"4","D",80,6
"4","D",100,1
"4","D",100,2
"4","D",100,3
"4","D",100,4
"4","D",100,5
"4","D",100,6
"4","D",120,1
"4","D",120,2
"4","D",120,3
"4","D",120,4
"4","D",120,5
"4","D",140,1
"4","D",140,2
"4","D",140,3
"4","D",140,4
"4","D",140,5
"4","D",140,6
"4","D",160,1
"4","D",160,2
"4","D",160,3
"4","D",160,4
"4","D",160,5
"4","D",160,6
"4","D",180,1
"4","D",180,2
"4","D",180,3
"4","D",180,4
"4","D",180,5
"4","D",200,1
"4","D",200,2
"4","D",200,3
"4","D",200,4
"4","D",200,5
"4","D",200,6
"4","D",220,1
"4","D",220,2
"4","D",220,3
"4","D",220,4
"4","D",220,5
"4","D",220,6
"4","D",240,1
"4","D",240,2
"4","D",240,3
"4","D",240,4
"4","D",240,5
"4","D",240,6
"4","D",260,1
"4","D",260,2
"4","D",260,3
"4","D",260,4
"4","D",260,5
"4","D",260,6
"4","D",280,1
"4","D",280,2
"4","D",280,3
"4","D",280,4
"4","D",280,5
"4","D",280,6
"4","D",300,1
"4","D",300,2
"4","D",300,3
"4","D",300,4
"4","D",300,5
"4","D",300,6
"4","D",320,1
"4","D",320,2
"4","D",320,3
"4","D",320,4
"4","D",320,5
"4","D",320,6
"4","D",340,1
"4","D",340,2
"4","D",340,3
"4","D",340,4
"4","D",340,5
"4","D",340,6
"4","D",360,1
"4","D",360,2
"4","D",360,3
"4","D",360,4
"4","D",360,5
"4","D",360,6
"4","D",640,1
"4","D",640,2
"4","D",640,3
"4","D",640,4
"4","D",640,5
"4","D",640,6
"4","D",1280,1
"4","D",1280,2
"4","D",1280,3
"4","D",1280,4
"4","D",1280,5
"4","D",1280,6
"32","L",5,1
"32","L",5,2
"32","L",5,3
"32","L",5,4
"32","L",5,5
"32","L",5,6
"32","L",10,1
"32","L",10,2
"32","L",10,3
"32","L",10,4
"32","L",10,5
"32","L",10,6
"32","L",20,1
"32","L",20,2
"32","L",20,3
"32","L",20,4
"32","L",20,5
"32","L",40,1
"32","L",40,2
"32","L",40,3
"32","L",40,4
"32","L",40,5
"32","L",40,6
"32","L",60,1
"32","L",60,2
"32","L",60,3
"32","L",60,4
"32","L",60,5
"32","L",60,6
"32","L",80,1
"32","L",80,2
"32","L",80,3
"32","L",80,4
"32","L",80,5
"32","L",80,6
"32","L",100,1
"32","L",100,2
"32","L",100,3
"32","L",100,4
"32","L",100,5
"32","L",100,6
"32","L",120,1
"32","L",120,2
"32","L",120,3
"32","L",120,4
"32","L",120,5
"32","L",120,6
"32","L",140,1
"32","L",140,2
"32","L",140,3
"32","L",140,4
"32","L",140,5
"32","L",140,6
"32","L",160,1
"32","L",160,2
"32","L",160,3
"32","L",160,4
"32","L",160,5
"32","L",160,6
"32","L",180,1
"32","L",180,2
"32","L",180,3
"32","L",180,4
"32","L",180,5
"32","L",200,1
"32","L",200,2
"32","L",200,3
"32","L",200,4
"32","L",200,5
"32","L",200,6
"32","L",220,1
"32","L",220,2
"32","L",220,3
"32","L",220,4
"32","L",220,5
"32","L",220,6
"32","L",240,1
"32","L",240,2
"32","L",240,3
"32","L",240,4
"32","L",240,5
"32","L",240,6
"32","L",260,1
"32","L",260,2
"32","L",260,3
"32","L",260,4
"32","L",260,5
"32","L",260,6
"32","L",280,1
"32","L",280,2
"32","L",280,3
"32","L",280,4
"32","L",280,5
"32","L",280,6
"32","L",300,1
"32","L",300,2
"32","L",300,3
"32","L",300,4
"32","L",300,5
"32","L",300,6
"32","L",320,1
"32","L",320,2
"32","L",320,3
"32","L",320,4
"32","L",320,5
"32","L",320,6
"32","L",340,1
"32","L",340,2
"32","L",340,3
"32","L",340,4
"32","L",340,5
"32","L",340,6
"32","L",360,1
"32","L",360,2
"32","L",360,3
"32","L",360,4
"32","L",360,5
"32","L",640,1
"32","L",640,2
"32","L",640,3
"32","L",640,4
"32","L",640,5
"32","L",640,6
"32","L",1280,1
"32","L",1280,2
"32","L",1280,3
"32","L",1280,4
"32","L",1280,5
"32","L",1280,6
"32","D",5,1
"32","D",5,2
"32","D",5,3
"32","D",5,4
"32","D",5,5
"32","D",5,6
"32","D",10,1
"32","D",10,2
"32","D",10,3
"32","D",10,4
"32","D",10,5
"32","D",10,6
"32","D",20,1
"32","D",20,2
"32","D",20,3
"32","D",20,4
"32","D",20,5
"32","D",20,6
"32","D",40,1
"32","D",40,2
"32","D",40,3
"32","D",40,4
"32","D",40,5
"32","D",40,6
"32","D",60,1
"32","D",60,2
"32","D",60,3
"32","D",60,4
"32","D",60,5
"32","D",60,6
"32","D",80,1
"32","D",80,2
"32","D",80,3
"32","D",80,4
"32","D",80,5
"32","D",100,1
"32","D",100,2
"32","D",100,3
"32","D",100,4
"32","D",100,5
"32","D",100,6
"32","D",120,1
"32","D",120,2
"32","D",120,3
"32","D",120,4
"32","D",120,5
"32","D",120,6
"32","D",140,1
"32","D",140,2
"32","D",140,3
"32","D",140,4
"32","D",140,5
"32","D",140,6
"32","D",160,1
"32","D",160,2
"32","D",160,3
"32","D",160,4
"32","D",160,5
"32","D",160,6
"32","D",180,1
"32","D",180,2
"32","D",180,3
"32","D",180,4
"32","D",180,5
"32","D",180,6
"32","D",200,1
"32","D",200,2
"32","D",200,3
"32","D",200,4
"32","D",200,5
"32","D",200,6
"32","D",220,1
"32","D",220,2
"32","D",220,3
"32","D",220,4
"32","D",220,5
"32","D",220,6
"32","D",240,1
"32","D",240,2
"32","D",240,3
"32","D",240,4
"32","D",240,5
"32","D",240,6
"32","D",260,1
"32","D",260,2
"32","D",260,3
"32","D",260,4
"32","D",260,5
"32","D",280,1
"32","D",280,2
"32","D",280,3
"32","D",280,4
"32","D",280,5
"32","D",280,6
"32","D",300,1
"32","D",300,2
"32","D",300,3
"32","D",300,4
"32","D",300,5
"32","D",300,6
"32","D",320,1
"32","D",320,2
"32","D",320,3
"32","D",320,4
"32","D",320,5
"32","D",320,6
"32","D",340,1
"32","D",340,2
"32","D",340,3
"32","D",340,4
"32","D",340,5
"32","D",340,6
"32","D",360,1
"32","D",360,2
"32","D",360,3
"32","D",360,4
"32","D",360,5
"32","D",360,6
"32","D",640,1
"32","D",640,2
"32","D",640,3
"32","D",640,4
"32","D",640,5
"32","D",640,6
"32","D",1280,1
"32","D",1280,2
"32","D",1280,3
"32","D",1280,4
"32","D",1280,5
"32","D",1280,6
"32","D",1280,7
"21","LL",5,1
"21","LL",5,2
"21","LL",5,3
"21","LL",5,4
"21","LL",5,5
"21","LL",5,6
"21","LL",10,1
"21","LL",10,2
"21","LL",10,3
"21","LL",10,4
"21","LL",10,5
"21","LL",20,1
"21","LL",20,2
"21","LL",20,3
"21","LL",20,4
"21","LL",20,5
"21","LL",20,6
"21","LL",40,1
"21","LL",40,2
"21","LL",40,3
"21","LL",40,4
"21","LL",40,5
"21","LL",40,6
"21","LL",60,1
"21","LL",60,2
"21","LL",60,3
"21","LL",60,4
"21","LL",60,5
"21","LL",60,6
"21","LL",80,1
"21","LL",80,2
"21","LL",80,3
"21","LL",80,4
"21","LL",80,5
"21","LL",80,6
"21","LL",100,1
"21","LL",100,2
"21","LL",100,3
"21","LL",100,4
"21","LL",100,5
"21","LL",100,6
"21","LL",120,1
"21","LL",120,2
"21","LL",120,3
"21","LL",120,4
"21","LL",120,5
"21","LL",120,6
"21","LL",140,1
"21","LL",140,2
"21","LL",140,3
"21","LL",140,4
"21","LL",140,5
"21","LL",140,6
"21","LL",160,1
"21","LL",160,2
"21","LL",160,3
"21","LL",160,4
"21","LL",160,5
"21","LL",160,6
"21","LL",180,1
"21","LL",180,2
"21","LL",180,3
"21","LL",180,4
"21","LL",180,5
"21","LL",180,6
"21","LL",200,1
"21","LL",200,2
"21","LL",200,3
"21","LL",200,4
"21","LL",200,5
"21","LL",200,6
"21","LL",220,1
"21","LL",220,2
"21","LL",220,3
"21","LL",220,4
"21","LL",220,5
"21","LL",220,6
"21","LL",240,1
"21","LL",240,2
"21","LL",240,3
"21","LL",240,4
"21","LL",240,5
"21","LL",240,6
"21","LL",260,1
"21","LL",260,2
"21","LL",260,3
"21","LL",260,4
"21","LL",260,5
"21","LL",260,6
"21","LL",280,1
"21","LL",280,2
"21","LL",280,3
"21","LL",280,4
"21","LL",280,5
"21","LL",280,6
"21","LL",300,1
"21","LL",300,2
"21","LL",300,3
"21","LL",300,4
"21","LL",300,5
"21","LL",300,6
"21","LL",320,1
"21","LL",320,2
"21","LL",320,3
"21","LL",320,4
"21","LL",320,5
"21","LL",320,6
"21","LL",340,1
"21","LL",340,2
"21","LL",340,3
"21","LL",340,4
"21","LL",340,5
"21","LL",340,6
"21","LL",360,1
"21","LL",360,2
"21","LL",360,3
"21","LL",360,4
"21","LL",360,5
"21","LL",360,6
"21","LL",640,1
"21","LL",640,2
"21","LL",640,3
"21","LL",640,4
"21","LL",640,5
"21","LL",640,6
"21","LL",1280,1
"21","LL",1280,2
"21","LL",1280,3
"21","LL",1280,4
"21","LL",1280,5
"21","LL",1280,6
"21","HL",5,1
"21","HL",5,2
"21","HL",5,3
"21","HL",5,4
"21","HL",5,5
"21","HL",5,6
"21","HL",10,1
"21","HL",10,2
"21","HL",10,3
"21","HL",10,4
"21","HL",10,5
"21","HL",10,6
"21","HL",20,1
"21","HL",20,2
"21","HL",20,3
"21","HL",20,4
"21","HL",20,5
"21","HL",20,6
"21","HL",40,1
"21","HL",40,2
"21","HL",40,3
"21","HL",40,4
"21","HL",40,5
"21","HL",40,6
"21","HL",60,1
"21","HL",60,2
"21","HL",60,3
"21","HL",60,4
"21","HL",60,5
"21","HL",60,6
"21","HL",80,1
"21","HL",80,2
"21","HL",80,3
"21","HL",80,4
"21","HL",80,5
"21","HL",80,6
"21","HL",100,1
"21","HL",100,2
"21","HL",100,3
"21","HL",100,4
"21","HL",100,5
"21","HL",100,6
"21","HL",120,1
"21","HL",120,2
"21","HL",120,3
"21","HL",120,4
"21","HL",120,5
"21","HL",120,6
"21","HL",140,1
"21","HL",140,2
"21","HL",140,3
"21","HL",140,4
"21","HL",140,5
"21","HL",140,6
"21","HL",160,1
"21","HL",160,2
"21","HL",160,3
"21","HL",160,4
"21","HL",160,5
"21","HL",160,6
"21","HL",180,1
"21","HL",180,2
"21","HL",180,3
"21","HL",180,4
"21","HL",180,5
"21","HL",180,6
"21","HL",200,1
"21","HL",200,2
"21","HL",200,3
"21","HL",200,4
"21","HL",200,5
"21","HL",200,6
"21","HL",220,1
"21","HL",220,2
"21","HL",220,3
"21","HL",220,4
"21","HL",220,5
"21","HL",220,6
"21","HL",240,1
"21","HL",240,2
"21","HL",240,3
"21","HL",240,4
"21","HL",240,5
"21","HL",240,6
"21","HL",260,1
"21","HL",260,2
"21","HL",260,3
"21","HL",260,4
"21","HL",260,5
"21","HL",280,1
"21","HL",280,2
"21","HL",280,3
"21","HL",280,4
"21","HL",280,5
"21","HL",280,6
"21","HL",300,1
"21","HL",300,2
"21","HL",300,3
"21","HL",300,4
"21","HL",300,5
"21","HL",300,6
"21","HL",320,1
"21","HL",320,2
"21","HL",320,3
"21","HL",320,4
"21","HL",320,5
"21","HL",320,6
"21","HL",340,1
"21","HL",340,2
"21","HL",340,3
"21","HL",340,4
"21","HL",340,5
"21","HL",340,6
"21","HL",360,1
"21","HL",360,2
"21","HL",360,3
"21","HL",360,4
"21","HL",360,5
"21","HL",360,6
"21","HL",640,1
"21","HL",640,2
"21","HL",640,3
"21","HL",640,4
"21","HL",640,5
"21","HL",640,6
"21","HL",1280,1
"21","HL",1280,2
"21","HL",1280,3
"21","HL",1280,4
"21","HL",1280,5
"21","HL",1280,6
